ID,name
person_404,"Melkhaym, Georgius, of Braunau, 15th cent."
person_405,"Georgius de Didenhoven (Diedenhofen), 15th cent."
person_407,"Leather, Gerard F., 19th cent."
person_408,"Nyendorp, Gerardus, fl. 1453"
person_409,"Gerardus de Campis, fl. 1454"
person_410,"Gerars de Monsteruel, fl. 1294"
person_411,"Gerhard, abbot of Windberg, c. 1154–9"
person_412,"Swerd, Germanus, of 'Wakesend', fl. 1296"
person_413,"Randall, Gervase, 17th cent."
person_414,"Gervase de Gomarvilla, 14th cent."
person_415,"Gherardo di Giovanni del Ciriagio, citizen and notary of Florence, fl. 1466"
person_418,"Gichars, active northern France, 13th cent."
person_420,"Houssay, Gilbert de la, of 'Trembley', fl. 1776"
person_422,"Scot, fr./dom. Gilbertus, 13th cent."
person_423,"Kendall, Giles, 16th cent."
person_426,"Marzi, Giovanfrancesco, of San Gimignano (1440 - after 1494)"
person_428,"Saibante, Giovanni, of Verona, 18th cent."
person_429,"Bargellina, Giovanni, keeper of seals of the duke of Milan in Cremona, fl. 1459–61"
person_430,"Gradenigo, Giovanni, of Venice, fl. c. 1450"
person_431,"Perisinotti, Giovanni, fl. c. 1807–17"
person_433,"Quirini, Giovanni, of Venice, fl. c. 1405"
person_435,"Fermo, Giovanni da, 14th cent. (?) (translator of Cicero, De senectute)"
person_436,"Giovanni da Gaibana, of Padua (?), fl. 1266"
person_439,"Giovanni/Iohannes, 15th cent."
person_440,"Giovio, family, of Como, library of"
person_441,"Venier, Girolamo, 'capitaneus' of Brescia, fl. 1563"
person_442,"Panzano, Girolamo da, of Florence, 15th cent."
person_444,"Saibante, Giulio, of Verona, 18th cent."
person_445,"Giunta de Computo, chaplain of S. Quiriaco Alluliva di Lucca, fl. 1334"
person_446,"Canonici, Giuseppe (d. 1807)"
person_448,"Glaphyra, of Oxyrhynchus (?), 1st cent."
person_449,"Godefridus Johannes de Justfaes , clerk of the diocese of Utrecht, fl. 1424"
person_451,"Gregorii de Columberia, fl. 1450"
person_453,"Molegorrelle, Guaspari, of Pisa, 16th cent."
person_454,"Guidetti, family, of Florence"
person_455,"Guido Galeazzo de Pretis, of Mantua, fl. 1466"
person_456,"Gonzaga, Guido da, protonotary, of Mantua (d. 1459)"
person_458,"Derbeus, Guilelmus, fl. 1638"
person_459,"Lyra, Guilelmus de, priest, of the cathedral of St. Stephen, Concordia, fl. 1458–9"
person_460,"Halewyn, Guillaume de, knight, fl. 1405"
person_462,"Fitzalan-Howard (née Constable-Maxwell), Gwendolen, Duchess of Norfolk and Baroness Herries (1877–1945)"
person_463,"Gulielmus Basciera de Campo, of Lombardy, fl. 1458–64"
person_464,"Bandereul, Guy de, commendatory Abbot of St. Martin au Bois Clermont, 16th cent."
person_465,"Barlow, Thomas, 1607–1691"
person_466,"Teinczer (?), Henricus, of Tanstetten (?), 15th cent."
person_467,"Sotheby, Herbert George, 1871–1954"
person_468,"H. M., fl. 1702"
person_470,"Morrison, H. P., fl. 1953"
person_472,"Edwards (Edwardes), H. S. W., of Fordingbridge, fl. 1921"
person_473,"Clifford, Hanna, of Frampton Court (?), 16th cent."
person_476,"Harduin of Vendôme, librarian of the Abbey of St. Laumer at Blois, 12th cent."
person_477,"Butterfield, Harry Greenwood"
person_478,"Harward, 17th cent."
person_479,"Kunn, Heinrich, of 'Slewecz', fl. 1441"
person_480,"Helemhardus, 15th cent."
person_481,"Helmhardus, 15th cent."
person_482,"Fairfax, Henry, clergyman (1588–1665)"
person_483,"Henderson, clan, of Fordell castle"
person_485,"Pemberton, Henry, early 16th cent."
person_487,"Zeuchener, Henricus, active in Venice, 1430"
person_488,"Henricus de Stethin, of Germany, active at Paris, 1347"
person_489,"Rowlie, Henrie, late 16th cent."
person_490,"Haynes, Henrietta (d. c. 1949)"
person_491,"Littledale, Henry Arthur, fl. 1858 (?)"
person_492,"Blount alias Warner, Henry, of New Windsor (?), fl. 1371"
person_493,"Holland, Henry, duke of Exeter (1430–1475)"
person_495,"Mere, Henry, mid 15th. cent."
person_496,"Percy, Henry, earl of Northumberland (1421–1461)"
person_498,"Yate, Henry George Dobyns, rector of Bromsberrow and Fretherne (1756–1812)"
person_499,"Wele, Henry de, of Weston, near Muggington, Derby, early 16th cent."
person_501,"Zurke, Herman, of Greifswald, active in Oxford and Salisbury c. 1449–60"
person_504,"Stratona, Herveius de, sheriff of Staffordshire 1166–84"
person_505,"Huntingtonus, Henricus (Yorkshire, West Riding), fl. 1589"
person_506,"Baliocus, Hieronimus, of Novara, fl. 1479"
person_507,"Grimanus, Hieronymus, podestà of Verona , 1550"
person_508,"Maffeis, Hieronymus de, of Venice (?), fl. 1497"
person_509,"Stabellinis, Hieronymus de, of Ferrara (?), fl. c. 1471"
person_510,"Torniellis, Hieronymus de, O.F.M., of Novara, late 15th cent."
person_512,"Hills, family, of Ash, Kent"
person_513,"Harry, Himas (?) ap, 16th cent."
person_514,"Holbeche, sermon writer, fl. c. 1430 [Lawrence Holbeach, early 15th cent. (?)]"
person_516,"Waltar, Homfray, 15th cent. (?)"
person_517,"Honofrius, son of Petrus of San Gimignano, fl. 1460"
person_518,"Wills, Howel, of Florence (1854–?1901)"
person_521,"Campden, Hugh"
person_522,"Evanne, Hugo, 16th cent."
person_523,"Hugo son of Symon, Dutch bookbinder, later 15th cent."
person_524,"Humbert, bishop of Würzburg, sedit 832–842"
person_525,"Bouton, Humfry, 16th cent."
person_527,I.F.W.
person_528,"I.S., 15th cent."
person_530,"Ingelrannus, 11th cent."
person_531,"Zune, Ioannes, 16th cent."
person_532,"Blykks, Ioannes, 16th cent. (?)"
person_533,Ioaṇṇịṣ
person_534,"Iohannes Tüchler de Saltendorff, active at Regensburg, c. 1473"
person_535,"Iohanna, early 15th cent."
person_536,"Ashby (Aschby), John, B.A, of Glasen Hall, Oxford, late 15th cent."
person_537,"Jevons, John, parish clerk of West Hendred , c. 1600"
person_538,"Iohannesiacobus Surlioni de Gravanago ex Nobilibus de Ruyno, notary, fl. 1505"
person_539,"Bardwell, dom. John, monk of Bury St. Edmunds, 15th cent."
person_540,"Johannes de Tribus montibus (Giovanni Tremonti (?)), 15th cent. (?)"
person_541,"Iohannispetri de Favariis, fl. 1480"
person_542,"Fernandes, Isabella, fl. 1647"
person_543,"Forz (Fortibus), Isabella de, countess of Devon (1237–1293)"
person_546,"Dolan, J. (?) M., fl. 1854"
person_548,"Fairhurst, James, of Oldham (d. 1999)"
person_549,"Hales, J. of ...pill, 15th cent."
person_550,"Macfarquhar, J., fl. 1814"
person_551,"Maynesford (Maynsforth), John, fellow of Merton College, Oxford, fl. c. 1425–1488"
person_552,"Moriano, J., fl. 1607"
person_556,"Long, J. P., 19th century (?)"
person_557,"Magrath, John Richard, 1839–1930"
person_558,"Rawling Wilson, J., of Newcastle-upon-Tyne, fl. by 1835"
person_559,"Adams, J. T., of Snaithfield (d. by 1931)"
person_560,"Hammond, J. W. H., 19th–20th cent."
person_561,"Koning, Jacob (1770–1832)"
person_564,"Paltram, Jacobus, 15th cent."
person_565,"Jadre, Jacobinus, physicus, 14th cent."
person_567,"Diassorinos, Jacobos, of Rhodes, –1563"
person_568,"Cardogna, Jacobus, active in Venice c. 1460"
person_570,"Naplave, Jacobus, active in Šibenik c. 1458–60"
person_571,"Foscharinis, Jacobus de, of Venice, fl. 1466"
person_572,"Machariis, Jacobus de, of Venice, fl. c. 1460–70"
person_575,"Stagnatis, Jacobus de, active in the Veneto, 1424"
person_576,"Jacobus frater Christiani (?) de Reymerzwael, Zeelant, fl. c. 1425–50"
person_577,"Jacobus, son of Henricus of Utrecht, active in Venice (?), 1451"
person_578,"Polito, Jacomo, cartolaio, fl. 1461"
person_580,"Udine, Jacopo da, fl. 1441"
person_582,"Gresham, James, 15th cent."
person_583,"Sotheby, James, –1720"
person_584,"Strangman, James, c. 1555–?1595/6"
person_585,"Wentworth, James, of Yorkshire, late 16th cent."
person_586,"Deck, Jan van der, fl. 1591–2"
person_588,"Wriothesley (née Cheney), Jane, –1574"
person_589,"Mearinge, Jarueisium, of Yorkshire, late 16th cent."
person_590,"Broquet, Jean, clerk of the diocese of Cambrai, fl. c. 1507–11"
person_592,"Herlin, Jean, fl. c. 1450–60"
person_593,"Lorin, Jean, fl. c. 1460–70"
person_595,"Chardin, Jehan, 16th cent."
person_596,"Fleury, Jehan de., fl. 1461"
person_597,"Grise, Jehan de, fl. 1344"
person_598,"Beaupre, Jehane de, of 'bello Prato', 16th cent."
person_599,"Costimont, Jehanin de, fl. c. 1438"
person_601,"Jeronimo da Santa Maria da Vanzo, activa at Padua, 1471"
person_602,"Smith, John, 16th cent."
person_603,"Wyllestrope, Jhonn, of Yorkshire, late 16th cent."
person_604,"Huntback, Jno, 17th cent. (?)"
person_605,"Jo. Albertaccio di Daniello degli Alberti, fl. 1460"
person_606,"Barbe (Baert), Jo., fl. 1439"
person_607,"Sauage, Jo., 17th cent."
person_609,"Joannes Dominicus de Nigro, fl. 1473"
person_610,"Joannes olim Baptiste quondam Joannis Guarnerii, notary of Pisa, fl. c. 1550–75"
person_611,"Charnells, Joan dau. of Clemencia, of Snareston (Leics.), late 13th cent."
person_612,"Johannes, artist, fl. c. 1400"
person_615,"Johannes, scribe, fl. c. 1450–1500"
person_616,"Giovanni da Idria (Johannes Nardi Fusci de Itro), fl c. 1470"
person_617,"Johannes Andreae de Colonia, 15th cent."
person_619,"Johannes Antonius de Arigonibus de Cremona, fl. after 1442"
person_621,"Baldwyn, Johannes, vicar of Ardleigh, fl. c. 1510"
person_622,"Johannes Baptista de Spada de Interamna, fl. c. 1450–75"
person_623,"Johannes Bartholomei de Guidis, 'officialis et scriba reformationum', of Florence, fl. c. 1490"
person_624,"Bellus, Johannes, of Ferrara, active at Parma, 1439"
person_625,"Bruyl, Johannes, O.F.M., fl. c. 1350–1400"
person_626,"Chanaverii, Johannes, 'incuratus Alesii', fl. 1309"
person_627,"Chestur, Johannes, fl. 1444"
person_628,"Johannes Christoffori Saedren, alias de Bruggis, active in Udine, 1439"
person_629,"Dillon, John (d. 1831 (?))"
person_630,"Ellys, Johannes, rector of Thurnscoe, c. 1446"
person_631,"Ewisham (Evesham), Johannes de, monk of Tewkesbury, early 16th cent."
